run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
CNN_32ch_2000hz_10pct_20260308_235251,2026-03-09 00:02:02,CNN,80,32,2000,0.1,spectrogram,0.20014487082759538,2.2069245747157504,45.54718653079309,39.259419662191426,548.8479827819974,ablation_train_fraction
CNN_32ch_2000hz_25pct_20260309_000202,2026-03-09 00:19:46,CNN,80,32,2000,0.25,spectrogram,0.20445933192968369,1.439036250114441,28.2233052724856,30.09961022087484,1060.3608455780013,ablation_train_fraction
CNN_32ch_2000hz_50pct_20260309_001946,2026-03-09 00:51:32,CNN,80,32,2000,0.5,spectrogram,0.1694771695882082,1.1591076339994157,23.03943287549845,24.88090082286704,1903.8772017129995,ablation_train_fraction
CNN_32ch_2000hz_75pct_20260309_005133,2026-03-09 01:37:37,CNN,80,32,2000,0.75,spectrogram,0.13777966188887755,1.1543032271521432,21.08994240141781,22.152446946730187,2761.5530648159984,ablation_train_fraction
CNN_32ch_2000hz_100pct_20260309_013738,2026-03-09 02:37:50,CNN,80,32,2000,1.0,spectrogram,0.15649972651153804,0.9443954229354858,18.852459016393443,21.242962321351232,3609.1892934709977,ablation_train_fraction
