run_id,epoch,train_loss,val_loss,val_cer
CONFORMER_16ch_1000hz_89pct_20260308_040043,1,30.36738058,3.232341937,100
CONFORMER_16ch_1000hz_89pct_20260308_040043,2,3.246428525,3.590809379,100
CONFORMER_16ch_1000hz_89pct_20260308_040043,3,2.996162136,2.755862474,99.9778467
CONFORMER_16ch_1000hz_89pct_20260308_040043,4,2.59174811,2.079479354,88.72396987
CONFORMER_16ch_1000hz_89pct_20260308_040043,5,2.081397526,1.659455674,56.15861763
CONFORMER_16ch_1000hz_89pct_20260308_040043,6,1.748849202,1.579763923,50.13291981
CONFORMER_16ch_1000hz_89pct_20260308_040043,7,1.502734173,1.279439892,39.3442623
CONFORMER_16ch_1000hz_89pct_20260308_040043,8,1.36808204,1.116431594,35.57820115
CONFORMER_16ch_1000hz_89pct_20260308_040043,9,1.28048267,1.068898678,34.2490031
CONFORMER_16ch_1000hz_89pct_20260308_040043,10,1.22234704,1.009452224,32.78688525
CONFORMER_16ch_1000hz_89pct_20260308_040043,11,1.137468578,0.938773998,29.22020381
CONFORMER_16ch_1000hz_89pct_20260308_040043,12,1.108663808,0.933480808,29.61896323
CONFORMER_16ch_1000hz_89pct_20260308_040043,13,1.078764287,0.900878847,28.48914488
CONFORMER_16ch_1000hz_89pct_20260308_040043,14,1.029828234,0.893804252,28.9543642
CONFORMER_16ch_1000hz_89pct_20260308_040043,15,0.985547298,0.821399876,26.80549402
CONFORMER_16ch_1000hz_89pct_20260308_040043,16,0.971240289,0.812482723,25.01107665
CONFORMER_16ch_1000hz_89pct_20260308_040043,17,0.936772831,0.845058756,26.69472751
CONFORMER_16ch_1000hz_89pct_20260308_040043,18,0.929835077,0.848686022,27.18210013
CONFORMER_16ch_1000hz_89pct_20260308_040043,19,0.896740786,0.77474348,24.65662384
CONFORMER_16ch_1000hz_89pct_20260308_040043,20,0.860844361,0.752164074,23.39388569
CONFORMER_16ch_1000hz_89pct_20260308_040043,21,0.837748873,0.799438034,24.47939743
CONFORMER_16ch_1000hz_89pct_20260308_040043,22,0.834792222,0.780814682,23.7483385
CONFORMER_16ch_1000hz_89pct_20260308_040043,23,0.826219311,0.743036628,23.01727957
CONFORMER_16ch_1000hz_89pct_20260308_040043,24,0.800822587,0.766530088,24.08063802
CONFORMER_16ch_1000hz_89pct_20260308_040043,25,0.809251015,0.734801761,22.79574657
CONFORMER_16ch_1000hz_89pct_20260308_040043,26,0.774035101,0.726138651,22.90651307
CONFORMER_16ch_1000hz_89pct_20260308_040043,27,0.749787678,0.729880052,22.35268055
CONFORMER_16ch_1000hz_89pct_20260308_040043,28,0.73897365,0.756081164,24.01417811
CONFORMER_16ch_1000hz_89pct_20260308_040043,29,0.717804579,0.716289137,21.51085512
CONFORMER_16ch_1000hz_89pct_20260308_040043,30,0.734719907,0.716549831,22.21976074
CONFORMER_16ch_1000hz_89pct_20260308_040043,31,0.693968003,0.665854522,20.55826318
CONFORMER_16ch_1000hz_89pct_20260308_040043,32,0.685323232,0.719218978,21.0013292
CONFORMER_16ch_1000hz_89pct_20260308_040043,33,0.686889547,0.700140519,21.79884803
CONFORMER_16ch_1000hz_89pct_20260308_040043,34,0.651638284,0.665026375,20.44749668
CONFORMER_16ch_1000hz_89pct_20260308_040043,35,0.635926737,0.669510909,20.64687638
CONFORMER_16ch_1000hz_89pct_20260308_040043,36,0.63706747,0.697184588,21.57731502
CONFORMER_16ch_1000hz_89pct_20260308_040043,37,0.626677241,0.683721951,20.00443066
CONFORMER_16ch_1000hz_89pct_20260308_040043,38,0.620519294,0.651691318,19.62782455
CONFORMER_16ch_1000hz_89pct_20260308_040043,39,0.594248916,0.664698388,20.46964998
CONFORMER_16ch_1000hz_89pct_20260308_040043,40,0.602202929,0.666326974,19.49490474
CONFORMER_16ch_1000hz_89pct_20260308_040043,41,0.562355136,0.646268359,19.51705804
CONFORMER_16ch_1000hz_89pct_20260308_040043,42,0.573554814,0.641386288,19.11829863
CONFORMER_16ch_1000hz_89pct_20260308_040043,43,0.565561207,0.645064167,18.03278689
CONFORMER_16ch_1000hz_89pct_20260308_040043,44,0.542306784,0.664903888,19.67213115
CONFORMER_16ch_1000hz_89pct_20260308_040043,45,0.529048549,0.634538557,19.00753212
CONFORMER_16ch_1000hz_89pct_20260308_040043,46,0.518932763,0.637660904,18.58661941
CONFORMER_16ch_1000hz_89pct_20260308_040043,47,0.514791756,0.645401946,18.87461232
CONFORMER_16ch_1000hz_89pct_20260308_040043,48,0.498169419,0.669999003,19.18475853
CONFORMER_16ch_1000hz_89pct_20260308_040043,49,0.501163714,0.633335173,18.71953921
CONFORMER_16ch_1000hz_89pct_20260308_040043,50,0.474763052,0.639015283,18.27647319
CONFORMER_16ch_1000hz_89pct_20260308_040043,51,0.472525571,0.665356755,18.21001329
CONFORMER_16ch_1000hz_89pct_20260308_040043,52,0.470136162,0.720584333,19.51705804
CONFORMER_16ch_1000hz_89pct_20260308_040043,53,0.462263786,0.63439749,17.43464776
CONFORMER_16ch_1000hz_89pct_20260308_040043,54,0.43247766,0.646971507,17.32388126
CONFORMER_16ch_1000hz_89pct_20260308_040043,55,0.43259445,0.640452887,17.65618077
CONFORMER_16ch_1000hz_89pct_20260308_040043,56,0.426612457,0.659420192,18.83030572
CONFORMER_16ch_1000hz_89pct_20260308_040043,57,0.405907606,0.645190367,17.74479397
CONFORMER_16ch_1000hz_89pct_20260308_040043,58,0.394590265,0.675114087,18.05494019
CONFORMER_16ch_1000hz_89pct_20260308_040043,59,0.4005604,0.651973392,17.74479397
CONFORMER_16ch_1000hz_89pct_20260308_040043,60,0.405730369,0.670278856,18.2986265
CONFORMER_16ch_1000hz_89pct_20260308_040043,61,0.388964244,0.642232614,17.65618077
CONFORMER_16ch_1000hz_89pct_20260308_040043,62,0.357804997,0.644277726,17.83340718
CONFORMER_16ch_1000hz_89pct_20260308_040043,63,0.355903217,0.657086747,17.70048737
CONFORMER_16ch_1000hz_89pct_20260308_040043,64,0.338664354,0.660189893,17.54541427
CONFORMER_16ch_1000hz_89pct_20260308_040043,65,0.34312454,0.693992249,18.21001329
CONFORMER_16ch_1000hz_89pct_20260308_040043,66,0.334648124,0.676896606,17.98848028
CONFORMER_16ch_1000hz_89pct_20260308_040043,67,0.326024671,0.689847427,17.43464776
CONFORMER_16ch_1000hz_89pct_20260308_040043,68,0.316380011,0.672245869,17.65618077
CONFORMER_16ch_1000hz_89pct_20260308_040043,69,0.308256555,0.700661702,18.05494019
CONFORMER_16ch_1000hz_89pct_20260308_040043,70,0.308591128,0.705529673,18.16570669
CONFORMER_16ch_1000hz_89pct_20260308_040043,71,0.294866899,0.702347789,17.67833407
CONFORMER_16ch_1000hz_89pct_20260308_040043,72,0.296493998,0.680921972,17.21311475
CONFORMER_16ch_1000hz_89pct_20260308_040043,73,0.298373451,0.712549303,17.52326097
CONFORMER_16ch_1000hz_89pct_20260308_040043,74,0.290338706,0.720231201,18.03278689
CONFORMER_16ch_1000hz_89pct_20260308_040043,75,0.270709488,0.724071264,18.14355339
CONFORMER_16ch_1000hz_89pct_20260308_040043,76,0.274941168,0.724478866,18.03278689
CONFORMER_16ch_1000hz_89pct_20260308_040043,77,0.264312356,0.68217361,17.41249446
CONFORMER_16ch_1000hz_89pct_20260308_040043,78,0.255599379,0.70707689,16.85866194
CONFORMER_16ch_1000hz_89pct_20260308_040043,79,0.252226797,0.725204698,17.50110767
CONFORMER_16ch_1000hz_89pct_20260308_040043,80,0.24636305,0.709440265,17.01373505
CONFORMER_16ch_1000hz_89pct_20260308_040043,81,0.243141497,0.734829664,17.41249446
CONFORMER_16ch_1000hz_89pct_20260308_040043,82,0.229773619,0.718480442,17.23526805
CONFORMER_16ch_1000hz_89pct_20260308_040043,83,0.226565564,0.730527614,16.81435534
CONFORMER_16ch_1000hz_89pct_20260308_040043,84,0.224077075,0.747453638,17.36818786
CONFORMER_16ch_1000hz_89pct_20260308_040043,85,0.222924588,0.754154588,16.88081524
CONFORMER_16ch_1000hz_89pct_20260308_040043,86,0.221148915,0.734143811,17.27957466
CONFORMER_16ch_1000hz_89pct_20260308_040043,87,0.223418336,0.738732542,17.30172796
CONFORMER_16ch_1000hz_89pct_20260308_040043,88,0.210049295,0.7528154,17.12450155
CONFORMER_16ch_1000hz_89pct_20260308_040043,89,0.216733545,0.745269537,17.58972087
CONFORMER_16ch_1000hz_89pct_20260308_040043,90,0.207122138,0.753501722,16.52636243
CONFORMER_16ch_1000hz_89pct_20260308_040043,91,0.19874383,0.768565212,17.36818786
CONFORMER_16ch_1000hz_89pct_20260308_040043,92,0.193694031,0.738416604,16.94727514
CONFORMER_16ch_1000hz_89pct_20260308_040043,93,0.193113271,0.756420425,17.32388126
CONFORMER_16ch_1000hz_89pct_20260308_040043,94,0.188605712,0.745729736,16.83650864
CONFORMER_16ch_1000hz_89pct_20260308_040043,95,0.189514972,0.752775797,16.65928223
CONFORMER_16ch_1000hz_89pct_20260308_040043,96,0.185647159,0.74444506,16.10544971
CONFORMER_16ch_1000hz_89pct_20260308_040043,97,0.174148506,0.748061989,16.45990253
CONFORMER_16ch_1000hz_89pct_20260308_040043,98,0.174206074,0.75722622,16.59282233
CONFORMER_16ch_1000hz_89pct_20260308_040043,99,0.170396912,0.765297685,16.83650864
CONFORMER_16ch_1000hz_89pct_20260308_040043,100,0.156737963,0.779862574,16.65928223
CONFORMER_16ch_1000hz_89pct_20260308_040043,101,0.159236076,0.788575002,17.12450155
CONFORMER_16ch_1000hz_89pct_20260308_040043,102,0.158131316,0.753206159,16.83650864
CONFORMER_16ch_1000hz_89pct_20260308_040043,103,0.161344488,0.780446512,16.74789544
CONFORMER_16ch_1000hz_89pct_20260308_040043,104,0.157881282,0.76184254,17.14665485
CONFORMER_16ch_1000hz_89pct_20260308_040043,105,0.152092195,0.784847898,16.43774922
CONFORMER_16ch_1000hz_89pct_20260308_040043,106,0.143667918,0.797598353,16.70358883
CONFORMER_16ch_1000hz_89pct_20260308_040043,107,0.1448526,0.779290983,16.45990253
CONFORMER_16ch_1000hz_89pct_20260308_040043,108,0.151283094,0.813448557,17.14665485
CONFORMER_16ch_1000hz_89pct_20260308_040043,109,0.143324256,0.795869606,16.70358883
CONFORMER_16ch_1000hz_89pct_20260308_040043,110,0.144671125,0.812382536,16.72574214
CONFORMER_16ch_1000hz_89pct_20260308_040043,111,0.137976558,0.817515986,17.05804165
CONFORMER_16ch_1000hz_89pct_20260308_040043,112,0.137666234,0.807567665,16.48205583
CONFORMER_16ch_1000hz_89pct_20260308_040043,113,0.13139344,0.804854206,16.32698272
CONFORMER_16ch_1000hz_89pct_20260308_040043,114,0.130725777,0.810835455,16.59282233
CONFORMER_16ch_1000hz_89pct_20260308_040043,115,0.126012745,0.812738044,16.34913602
CONFORMER_16ch_1000hz_89pct_20260308_040043,116,0.127682795,0.809479952,16.08329641
CONFORMER_16ch_1000hz_89pct_20260308_040043,117,0.125016756,0.791114722,16.41559592
CONFORMER_16ch_1000hz_89pct_20260308_040043,118,0.121822712,0.810135637,15.90607
CONFORMER_16ch_1000hz_89pct_20260308_040043,119,0.124872024,0.809065444,16.06114311
CONFORMER_16ch_1000hz_89pct_20260308_040043,120,0.122857931,0.802402479,16.12760301
CONFORMER_16ch_1000hz_89pct_20260308_040043,121,0.121113215,0.812562951,16.28267612
CONFORMER_16ch_1000hz_89pct_20260308_040043,122,0.120626684,0.808677495,15.7066903
CONFORMER_16ch_1000hz_89pct_20260308_040043,123,0.116700159,0.810151969,15.7731502
CONFORMER_16ch_1000hz_89pct_20260308_040043,124,0.117017439,0.811748156,15.99468321
CONFORMER_16ch_1000hz_89pct_20260308_040043,125,0.116727987,0.796127566,16.06114311
CONFORMER_16ch_1000hz_89pct_20260308_040043,126,0.116169797,0.809511048,15.7288436
CONFORMER_16ch_1000hz_89pct_20260308_040043,127,0.112561072,0.812800118,16.06114311
CONFORMER_16ch_1000hz_89pct_20260308_040043,128,0.110199055,0.804331022,16.08329641
CONFORMER_16ch_1000hz_89pct_20260308_040043,129,0.112758248,0.814467064,15.90607
CONFORMER_16ch_1000hz_89pct_20260308_040043,130,0.109927419,0.817761907,15.8839167
CONFORMER_16ch_1000hz_89pct_20260308_040043,131,0.107713637,0.811909258,16.12760301
CONFORMER_16ch_1000hz_89pct_20260308_040043,132,0.107801673,0.813482864,15.8617634
