run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
RNN_32ch_63hz_89pct_20260312_173111,2026-03-12 18:07:17,RNN,150,32,63,0.8861638130495141,raw_channels,1.3856998562812806,3.9442408084869385,78.52229864654981,104.0348964013086,2159.5237621999113,recons
RNN_32ch_63hz_89pct_20260312_204855,2026-03-12 20:48:55,RNN,127,32,63,0.8861638130495141,raw_channels,nan,nan,78.3447969824717,104.0348964013086,0.0,recons test_only
RNN_32ch_63hz_89pct_20260312_205111,2026-03-12 20:51:11,RNN,127,32,63,0.8861638130495141,raw_channels,nan,nan,78.3447969824717,104.0348964013086,0.0,recons test_only
RNN_32ch_63hz_89pct_20260312_205130,2026-03-12 20:51:30,RNN,127,32,63,0.8861638130495141,raw_channels,nan,nan,78.3447969824717,104.0348964013086,0.0,recons test_only
