run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
CNN_16ch_62hz_100pct_20260310_101223,2026-03-10 10:12:26,CNN,2,16,62,1.0,latent_ae_v2,4.183111667633057,4.167283058166504,100.0,100.0,2.431168556213379,latent_cnn_baseline
CNN_16ch_62hz_100pct_20260310_101300,2026-03-10 10:15:24,CNN,150,16,62,1.0,latent_ae_v2,0.9498017728328705,3.6716322898864746,84.37956204379562,87.33624454148472,143.9186098575592,latent_cnn_baseline
CNN_16ch_62hz_100pct_20260310_101638,2026-03-10 10:16:49,CNN,1,16,62,1.0,latent_ae_v2,5.448410948117574,3.2909866174062095,100.0,100.0,11.43166446685791,latent_cnn_baseline
CNN_16ch_62hz_100pct_20260310_101657,2026-03-10 10:18:33,CNN,10,16,62,1.0,latent_ae_v2,2.81482587258021,3.1228716373443604,99.62145110410094,99.62139138665404,95.68173956871033,latent_cnn_baseline
CNN_8ch_1000hz_100pct_20260311_180532,2026-03-11 20:05:38,CNN,150,8,1000,1.0,mel_spectrogram_biophysics,0.13564517041668295,1.0665540950638908,21.355782011519718,24.447812906019923,7205.582525968552,biophysics_pipeline
CNN_256ch_62hz_100pct_20260311_212316,2026-03-11 22:06:48,CNN,150,256,62,1.0,latent_v2_256dim_sessions,1.224849587040288,4.920822075435093,82.90731273616359,85.92254134029591,2611.96502161026,latent_cnn_per_session_split
