CONFORMER_16ch_1000hz_89pct_20260308_100743,1,36.52615302,3.26054103,100
CONFORMER_16ch_1000hz_89pct_20260308_100743,2,3.290043084,3.162362133,100
CONFORMER_16ch_1000hz_89pct_20260308_100743,3,3.048511326,2.779533114,100
CONFORMER_16ch_1000hz_89pct_20260308_100743,4,2.558869984,2.061689581,85.35666814
CONFORMER_16ch_1000hz_89pct_20260308_100743,5,1.937616884,1.534268584,57.9973416
CONFORMER_16ch_1000hz_89pct_20260308_100743,6,1.573627996,1.243322151,38.63535667
CONFORMER_16ch_1000hz_89pct_20260308_100743,7,1.376369846,1.124984111,34.40407621
CONFORMER_16ch_1000hz_89pct_20260308_100743,8,1.276045265,1.002874945,32.10013292
CONFORMER_16ch_1000hz_89pct_20260308_100743,9,1.15273411,0.961710708,29.88480284
CONFORMER_16ch_1000hz_89pct_20260308_100743,10,1.119968665,0.967523762,30.54940186
CONFORMER_16ch_1000hz_89pct_20260308_100743,11,1.070015345,0.915074323,27.62516615
CONFORMER_16ch_1000hz_89pct_20260308_100743,12,0.995982096,0.876780067,27.69162605
CONFORMER_16ch_1000hz_89pct_20260308_100743,13,0.961150587,0.841937218,26.56180771
CONFORMER_16ch_1000hz_89pct_20260308_100743,14,0.921985169,0.8705753,25.76428888
CONFORMER_16ch_1000hz_89pct_20260308_100743,15,0.897509022,0.789291458,24.63447054
CONFORMER_16ch_1000hz_89pct_20260308_100743,16,0.868563083,0.809219284,24.81169694
CONFORMER_16ch_1000hz_89pct_20260308_100743,17,0.83669768,0.797571208,24.76739034
CONFORMER_16ch_1000hz_89pct_20260308_100743,18,0.834398797,0.897258784,28.48914488
CONFORMER_16ch_1000hz_89pct_20260308_100743,19,0.803835192,0.729159951,22.24191405
CONFORMER_16ch_1000hz_89pct_20260308_100743,20,0.780346493,0.744400305,22.97297297
CONFORMER_16ch_1000hz_89pct_20260308_100743,21,0.753060545,0.723003158,21.82100133
CONFORMER_16ch_1000hz_89pct_20260308_100743,22,0.744994044,0.703429537,21.51085512
CONFORMER_16ch_1000hz_89pct_20260308_100743,23,0.733107575,0.700843624,21.59946832
CONFORMER_16ch_1000hz_89pct_20260308_100743,24,0.692551527,0.701743611,21.0899424
CONFORMER_16ch_1000hz_89pct_20260308_100743,25,0.720907181,0.701886475,21.86530793
CONFORMER_16ch_1000hz_89pct_20260308_100743,26,0.686376512,0.703963416,21.40008861
CONFORMER_16ch_1000hz_89pct_20260308_100743,27,0.654956713,0.709447835,22.04253434
CONFORMER_16ch_1000hz_89pct_20260308_100743,28,0.685451688,0.682673633,20.91271599
CONFORMER_16ch_1000hz_89pct_20260308_100743,29,0.639628291,0.694395483,20.91271599
CONFORMER_16ch_1000hz_89pct_20260308_100743,30,0.660810496,0.672164227,20.66902969
CONFORMER_16ch_1000hz_89pct_20260308_100743,31,0.631725418,0.681156261,21.0456358
CONFORMER_16ch_1000hz_89pct_20260308_100743,32,0.601341669,0.688242171,20.71333629
CONFORMER_16ch_1000hz_89pct_20260308_100743,33,0.584842425,0.681407852,19.96012406
CONFORMER_16ch_1000hz_89pct_20260308_100743,34,0.576715026,0.663369451,19.51705804
CONFORMER_16ch_1000hz_89pct_20260308_100743,35,0.567105453,0.665457896,20.02658396
CONFORMER_16ch_1000hz_89pct_20260308_100743,36,0.546764513,0.658581998,19.42844484
CONFORMER_16ch_1000hz_89pct_20260308_100743,37,0.543103507,0.645856755,19.56136464
CONFORMER_16ch_1000hz_89pct_20260308_100743,38,0.529726222,0.655012855,19.38413824
CONFORMER_16ch_1000hz_89pct_20260308_100743,39,0.524332042,0.67534227,19.62782455
CONFORMER_16ch_1000hz_89pct_20260308_100743,40,0.510353598,0.620368889,18.01063358
CONFORMER_16ch_1000hz_89pct_20260308_100743,41,0.50191844,0.699115268,19.56136464
CONFORMER_16ch_1000hz_89pct_20260308_100743,42,0.494639252,0.655473905,19.05183872
CONFORMER_16ch_1000hz_89pct_20260308_100743,43,0.47965162,0.614570533,17.94417368
CONFORMER_16ch_1000hz_89pct_20260308_100743,44,0.469383745,0.624866068,18.16570669
CONFORMER_16ch_1000hz_89pct_20260308_100743,45,0.452639928,0.650768127,18.5423128
CONFORMER_16ch_1000hz_89pct_20260308_100743,46,0.454766259,0.62301669,17.25742136
CONFORMER_16ch_1000hz_89pct_20260308_100743,47,0.430651791,0.638649268,17.65618077
CONFORMER_16ch_1000hz_89pct_20260308_100743,48,0.429424791,0.669655042,18.03278689
CONFORMER_16ch_1000hz_89pct_20260308_100743,49,0.426400908,0.65303834,17.34603456
CONFORMER_16ch_1000hz_89pct_20260308_100743,50,0.422431687,0.647028293,18.07709349
CONFORMER_16ch_1000hz_89pct_20260308_100743,51,0.399536924,0.632159821,16.96942844
CONFORMER_16ch_1000hz_89pct_20260308_100743,52,0.394099653,0.62498521,17.47895436
CONFORMER_16ch_1000hz_89pct_20260308_100743,53,0.381409617,0.656790836,17.89986708
CONFORMER_16ch_1000hz_89pct_20260308_100743,54,0.377537646,0.674983714,17.78910058
CONFORMER_16ch_1000hz_89pct_20260308_100743,55,0.362661853,0.650457553,17.81125388
