run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
CONFORMER_32ch_2000hz_89pct_20260307_180330,3/7/2026 18:03,CONFORMER,106,32,2000,0.886090573,spectrogram,nan,nan,12.09570226,14.44348203,0,test_only
CONFORMER_16ch_1000hz_89pct_20260308_040043,3/8/2026 6:46,CONFORMER,150,16,1000,0.886090573,mel_spectrogram,0.099121925,0.815102441,15.684537,16.6522304,9968.337611,
CONFORMER_16ch_1000hz_89pct_20260308_100743,3/8/2026 13:00,CONFORMER,,,,,,,,,,,
