run_id,timestamp,model,epochs,num_channels,sampling_rate_hz,train_fraction,input_type,final_train_loss,final_val_loss,final_val_cer,test_cer,training_time_sec,notes
RNN_16ch_2000hz_95pct_20260308_173654,2026-03-08 17:40:35,RNN,1,16,2000,0.9473814229249012,spectrogram,nan,nan,nan,100.0,182.949475899979,channel_half
RNN_16ch_2000hz_95pct_20260308_174314,2026-03-08 19:16:29,RNN,150,16,2000,0.9473814229249012,spectrogram,0.4461861183245977,0.6976078152656555,21.466548515728846,22.390317700453856,5569.985254400002,channel_half
